I [/root/cse532/mako/src/deptran/config.cc:269] 2025-12-24 01:52:11.402 | LoadYML: src/deptran/luigi/config/local-2shard-proc.yml
=== Luigi Coordinator ===
Shards: 2, Threads: 1, Duration: 10s, Benchmark: micro

I [/root/cse532/mako/src/deptran/communicator.cc:62] 2025-12-24 01:52:11.403 | setup paxos communicator
I [/root/cse532/mako/src/deptran/communicator.cc:320] 2025-12-24 01:52:11.404 | connect to site: 127.0.0.1:31850 success!
I [/root/cse532/mako/src/deptran/communicator.cc:320] 2025-12-24 01:52:11.404 | connect to site: 127.0.0.1:31851 success!
I [/root/cse532/mako/src/deptran/luigi/commo.cc:18] 2025-12-24 01:52:11.404 | LuigiCommo: initialized with base Communicator connections
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:176] 2025-12-24 01:52:11.404 | LuigiCoordinator initialized: 2 shards, 1 threads
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:186] 2025-12-24 01:52:11.405 | OWD measurement thread started
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=1 ops=2 shards=1 keys=[key_2200->s1 key_25063->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=2 ops=2 shards=2 keys=[key_8623->s0 key_15967->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=3 ops=2 shards=2 keys=[key_38345->s0 key_37879->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=4 ops=2 shards=1 keys=[key_88757->s0 key_50815->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=5 ops=2 shards=2 keys=[key_16340->s1 key_67196->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=6 ops=2 shards=2 keys=[key_26242->s1 key_99515->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=7 ops=2 shards=1 keys=[key_38823->s1 key_16139->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=8 ops=2 shards=1 keys=[key_83595->s1 key_4295->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=9 ops=2 shards=2 keys=[key_47220->s0 key_29979->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=10 ops=2 shards=1 keys=[key_3813->s0 key_15997->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=11 ops=2 shards=2 keys=[key_63065->s1 key_74424->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=12 ops=2 shards=1 keys=[key_98020->s0 key_43264->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=13 ops=2 shards=2 keys=[key_76769->s0 key_92290->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=14 ops=2 shards=2 keys=[key_93155->s0 key_1942->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=15 ops=2 shards=2 keys=[key_9100->s1 key_88409->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=16 ops=2 shards=2 keys=[key_51148->s0 key_92528->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=17 ops=2 shards=1 keys=[key_27139->s1 key_20901->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=18 ops=2 shards=2 keys=[key_54226->s0 key_70171->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=19 ops=2 shards=1 keys=[key_34072->s1 key_67618->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=20 ops=2 shards=2 keys=[key_13682->s1 key_94468->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=21 ops=2 shards=1 keys=[key_50882->s0 key_56963->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=22 ops=2 shards=2 keys=[key_9175->s1 key_13485->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=23 ops=2 shards=1 keys=[key_1339->s1 key_71525->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=24 ops=2 shards=1 keys=[key_20089->s0 key_33388->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=25 ops=2 shards=1 keys=[key_16885->s1 key_90160->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=26 ops=2 shards=2 keys=[key_72762->s1 key_56912->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=27 ops=2 shards=1 keys=[key_20291->s1 key_81001->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=28 ops=2 shards=1 keys=[key_43708->s1 key_31695->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=29 ops=2 shards=2 keys=[key_14630->s1 key_48887->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=30 ops=2 shards=1 keys=[key_50976->s0 key_29958->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=31 ops=2 shards=1 keys=[key_72930->s0 key_7743->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=32 ops=2 shards=2 keys=[key_23786->s1 key_11452->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=33 ops=2 shards=1 keys=[key_80908->s0 key_1202->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=34 ops=2 shards=2 keys=[key_68953->s0 key_53509->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=35 ops=2 shards=1 keys=[key_24969->s1 key_54018->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=36 ops=2 shards=2 keys=[key_58015->s0 key_78254->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=37 ops=2 shards=2 keys=[key_48341->s1 key_70125->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=38 ops=2 shards=2 keys=[key_74420->s0 key_50227->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=39 ops=2 shards=2 keys=[key_38433->s0 key_68103->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=40 ops=2 shards=1 keys=[key_78143->s0 key_29110->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=41 ops=2 shards=1 keys=[key_88313->s0 key_13214->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=42 ops=2 shards=1 keys=[key_72826->s0 key_24672->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.405 | DispatchOne: txn=43 ops=2 shards=1 keys=[key_25218->s1 key_32267->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=44 ops=2 shards=1 keys=[key_43383->s0 key_60852->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=45 ops=2 shards=1 keys=[key_12745->s0 key_67376->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=46 ops=2 shards=2 keys=[key_57625->s0 key_82181->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=47 ops=2 shards=2 keys=[key_78335->s1 key_9624->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=48 ops=2 shards=2 keys=[key_2246->s1 key_22054->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=49 ops=2 shards=1 keys=[key_19860->s1 key_99002->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=50 ops=2 shards=2 keys=[key_87724->s1 key_71654->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=51 ops=2 shards=2 keys=[key_20412->s0 key_47634->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=52 ops=2 shards=1 keys=[key_90101->s0 key_17078->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=53 ops=2 shards=1 keys=[key_7822->s0 key_36648->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=54 ops=2 shards=1 keys=[key_6926->s0 key_84797->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=55 ops=2 shards=2 keys=[key_55631->s1 key_5392->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=56 ops=2 shards=2 keys=[key_71130->s1 key_86214->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=57 ops=2 shards=2 keys=[key_81579->s1 key_38057->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=58 ops=2 shards=1 keys=[key_68809->s0 key_35159->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=59 ops=2 shards=2 keys=[key_77633->s1 key_43323->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=60 ops=2 shards=1 keys=[key_63933->s1 key_5355->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=61 ops=2 shards=1 keys=[key_10986->s1 key_65791->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=62 ops=2 shards=2 keys=[key_77259->s1 key_26078->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=63 ops=2 shards=2 keys=[key_15851->s1 key_53355->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=64 ops=2 shards=1 keys=[key_43869->s1 key_66473->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=65 ops=2 shards=1 keys=[key_7137->s1 key_84053->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=66 ops=2 shards=1 keys=[key_9989->s0 key_16208->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=67 ops=2 shards=1 keys=[key_59988->s0 key_40793->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=68 ops=2 shards=1 keys=[key_8132->s1 key_12902->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=69 ops=2 shards=2 keys=[key_78658->s1 key_84906->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=70 ops=2 shards=2 keys=[key_5542->s1 key_10842->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=71 ops=2 shards=2 keys=[key_28405->s0 key_7685->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=72 ops=2 shards=2 keys=[key_17863->s0 key_49250->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=73 ops=2 shards=1 keys=[key_11022->s1 key_48604->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=74 ops=2 shards=1 keys=[key_23095->s0 key_33508->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=75 ops=2 shards=1 keys=[key_55301->s1 key_9546->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=76 ops=2 shards=2 keys=[key_29642->s0 key_14294->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=77 ops=2 shards=2 keys=[key_45927->s0 key_55525->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=78 ops=2 shards=2 keys=[key_81723->s0 key_90461->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=79 ops=2 shards=2 keys=[key_46882->s1 key_3088->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=80 ops=2 shards=1 keys=[key_46263->s0 key_78235->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=81 ops=2 shards=1 keys=[key_85664->s0 key_67718->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=82 ops=2 shards=2 keys=[key_47895->s0 key_95664->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=83 ops=2 shards=1 keys=[key_11331->s0 key_42586->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=84 ops=2 shards=2 keys=[key_42407->s0 key_22750->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=85 ops=2 shards=2 keys=[key_37031->s1 key_59371->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=86 ops=2 shards=2 keys=[key_75414->s0 key_31402->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=87 ops=2 shards=1 keys=[key_46458->s0 key_71481->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=88 ops=2 shards=2 keys=[key_17282->s1 key_62711->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=89 ops=2 shards=1 keys=[key_64741->s1 key_14274->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=90 ops=2 shards=1 keys=[key_96082->s0 key_1228->s0 ]
