site,workload,mode,conc,throughtput,latency50pct,latency90pct,latency99pct,fastpath_count,coordinatoraccept_count,original_count
20c1s3r1p,rw_1,mencius_plus,60,,,,,,,
20c1s3r1p,rw_1,paxos_plus,50,6449.35,154.79,159.91,168.02,4,170,128813
20c1s3r1p,rw_1000,paxos_plus,60,11736.4,139.04,160.43,170.74,110666,5987,118075
10c1s3r1p,rw_1,mencius_plus,50,,,,,,,
10c1s3r1p,rw_1000,copilot_plus,70,4378.2,179.84,201.31,223.56,15892,51,71621
10c1s3r1p,rw_1,paxos_plus,60,3941.4,152.41,154.93,157.58,1,191,78636
20c1s3r1p,rw_1000,paxos_plus,200,17136.95,239.72,271.15,327.05,11434,730,330575
20c1s3r1p,rw_1000,mencius_plus,90,,,,,,,
20c1s3r1p,rw_1,paxos_plus,120,13244.5,180.04,200.59,217.15,6,94,264790
20c1s3r1p,rw_1000000,none_copilot,60,8228.2,150.18,174.62,181.95,,,
10c1s3r1p,rw_1,paxos_plus,1,66.8,150.65,151.36,151.6,7,3,1326
10c1s3r1p,rw_1,copilot_plus,3,192.9,153.33,166.61,175.84,5,7,3846
20c1s3r1p,rw_1000,copilot_plus,70,7669.05,190.59,218.0,244.08,12837,79,140465
20c1s3r1p,rw_1000000,copilot_plus,150,22256.35,116.1,200.0,429.08,413018,2,32107
10c1s3r1p,rw_1000,paxos_plus,60,7423.5,41.78,152.87,157.75,94660,2815,50995
10c1s3r1p,rw_1000,mencius_plus,90,,,,,,,
20c1s3r1p,rw_1000000,copilot_plus,3,1488.8,40.28,40.4,40.6,29776,0,0
10c1s3r1p,rw_1,paxos_plus,6,402.15,150.68,151.1,151.67,3,221,7819
20c1s3r1p,rw_1000,copilot_plus,1,452.65,40.27,43.19,152.34,8779,2,272
10c1s3r1p,rw_1000,copilot_plus,3,627.05,40.53,51.0,159.81,11960,8,573
20c1s3r1p,rw_1,copilot_plus,80,8036.75,198.26,225.49,244.31,1,10,160724
20c1s3r1p,rw_1000000,none_paxos,6,1190.5,100.9,101.71,102.41,,,
10c1s3r1p,rw_1000,mencius_plus,100,1693.2,493.11,1473.41,2037.04,7756,190,25918
20c1s3r1p,rw_1000000,none_paxos,80,9508.55,170.31,202.41,210.47,,,
10c1s3r1p,rw_1,mencius_plus,1,68.25,150.86,151.42,151.82,25,63,1277
20c1s3r1p,rw_1,mencius_plus,20,,,,,,,
20c1s3r1p,rw_1000,paxos_plus,150,14996.2,209.18,234.27,276.92,19411,1120,279393
20c1s3r1p,rw_1000000,none_mencius,120,2570.05,921.63,1522.51,2428.3,,,
20c1s3r1p,rw_1,paxos_plus,10,1331.95,150.84,151.52,152.28,1,227,26411
10c1s3r1p,rw_1,mencius_plus,6,,,,,,,
20c1s3r1p,rw_1000,copilot_plus,6,1483.5,50.66,178.7,203.11,22054,36,7580
10c1s3r1p,rw_1000,copilot_plus,30,2409.85,163.62,190.99,210.27,19982,37,28178
10c1s3r1p,rw_1,mencius_plus,10,574.7,174.54,199.35,211.01,18,99,11377
20c1s3r1p,rw_1000,paxos_plus,20,5520.0,40.62,151.22,155.36,78320,1497,30583
20c1s3r1p,rw_1000000,none_paxos,1,199.15,100.5,100.77,101.09,,,
