I [/root/cse532/mako/src/deptran/config.cc:269] 2025-12-24 01:36:46.124 | LoadYML: src/deptran/luigi/config/local-2shard-proc.yml
=== Luigi Coordinator ===
Shards: 2, Threads: 1, Duration: 10s, Benchmark: micro

I [/root/cse532/mako/src/deptran/communicator.cc:62] 2025-12-24 01:36:46.125 | setup paxos communicator
I [/root/cse532/mako/src/deptran/communicator.cc:320] 2025-12-24 01:36:46.126 | connect to site: 127.0.0.1:31850 success!
I [/root/cse532/mako/src/deptran/communicator.cc:320] 2025-12-24 01:36:46.126 | connect to site: 127.0.0.1:31851 success!
I [/root/cse532/mako/src/deptran/luigi/commo.cc:18] 2025-12-24 01:36:46.126 | LuigiCommo: initialized with base Communicator connections
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:176] 2025-12-24 01:36:46.126 | LuigiCoordinator initialized: 2 shards, 1 threads
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:186] 2025-12-24 01:36:46.127 | OWD measurement thread started
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.128 | DispatchOne: txn=1 ops=2 shards=2 keys=[key_10397->s1 key_37795->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.128 | DispatchOne: txn=2 ops=2 shards=1 keys=[key_30213->s0 key_95764->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.128 | DispatchOne: txn=3 ops=2 shards=2 keys=[key_39058->s0 key_43560->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.128 | DispatchOne: txn=4 ops=2 shards=1 keys=[key_6249->s0 key_28852->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.129 | DispatchOne: txn=5 ops=2 shards=1 keys=[key_55940->s0 key_11878->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.129 | DispatchOne: txn=6 ops=2 shards=2 keys=[key_35839->s1 key_15748->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.130 | DispatchOne: txn=7 ops=2 shards=1 keys=[key_19295->s1 key_68499->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.130 | DispatchOne: txn=8 ops=2 shards=1 keys=[key_8875->s1 key_76803->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.130 | DispatchOne: txn=9 ops=2 shards=1 keys=[key_63776->s0 key_40234->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.131 | DispatchOne: txn=10 ops=2 shards=1 keys=[key_21234->s1 key_57321->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.131 | DispatchOne: txn=11 ops=2 shards=1 keys=[key_38125->s0 key_13456->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.131 | DispatchOne: txn=12 ops=2 shards=1 keys=[key_82835->s1 key_26200->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.131 | DispatchOne: txn=13 ops=2 shards=2 keys=[key_23199->s1 key_15393->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.132 | DispatchOne: txn=14 ops=2 shards=1 keys=[key_68141->s1 key_13703->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.132 | DispatchOne: txn=15 ops=2 shards=1 keys=[key_61347->s0 key_11788->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.132 | DispatchOne: txn=16 ops=2 shards=2 keys=[key_11006->s1 key_84654->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.132 | DispatchOne: txn=17 ops=2 shards=1 keys=[key_58768->s1 key_65555->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.132 | DispatchOne: txn=18 ops=2 shards=1 keys=[key_2610->s0 key_71430->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.133 | DispatchOne: txn=19 ops=2 shards=2 keys=[key_87335->s1 key_13931->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.133 | DispatchOne: txn=20 ops=2 shards=1 keys=[key_8999->s0 key_23369->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.133 | DispatchOne: txn=21 ops=2 shards=2 keys=[key_31683->s0 key_27016->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.133 | DispatchOne: txn=22 ops=2 shards=1 keys=[key_99098->s0 key_66704->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.134 | DispatchOne: txn=23 ops=2 shards=2 keys=[key_81189->s0 key_70616->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.134 | DispatchOne: txn=24 ops=2 shards=1 keys=[key_78970->s0 key_85514->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.134 | DispatchOne: txn=25 ops=2 shards=1 keys=[key_50256->s1 key_65658->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.135 | DispatchOne: txn=26 ops=2 shards=2 keys=[key_39717->s0 key_58047->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.135 | DispatchOne: txn=27 ops=2 shards=1 keys=[key_13724->s0 key_24166->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.136 | DispatchOne: txn=28 ops=2 shards=1 keys=[key_8481->s0 key_36082->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.136 | DispatchOne: txn=29 ops=2 shards=2 keys=[key_13522->s0 key_31503->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.136 | DispatchOne: txn=30 ops=2 shards=1 keys=[key_90647->s1 key_62550->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.136 | DispatchOne: txn=31 ops=2 shards=2 keys=[key_86564->s0 key_50625->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.136 | DispatchOne: txn=32 ops=2 shards=2 keys=[key_34165->s0 key_90373->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.137 | DispatchOne: txn=33 ops=2 shards=1 keys=[key_43650->s1 key_63696->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.137 | DispatchOne: txn=34 ops=2 shards=1 keys=[key_99776->s1 key_82491->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.137 | DispatchOne: txn=35 ops=2 shards=1 keys=[key_8244->s1 key_79545->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.137 | DispatchOne: txn=36 ops=2 shards=1 keys=[key_82694->s0 key_36110->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.137 | DispatchOne: txn=37 ops=2 shards=1 keys=[key_41029->s1 key_73525->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.138 | DispatchOne: txn=38 ops=2 shards=1 keys=[key_97627->s0 key_84434->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.138 | DispatchOne: txn=39 ops=2 shards=2 keys=[key_42299->s1 key_35867->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.138 | DispatchOne: txn=40 ops=2 shards=1 keys=[key_74594->s0 key_59410->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.138 | DispatchOne: txn=41 ops=2 shards=2 keys=[key_96557->s1 key_50453->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.138 | DispatchOne: txn=42 ops=2 shards=1 keys=[key_29697->s0 key_73586->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.139 | DispatchOne: txn=43 ops=2 shards=1 keys=[key_71103->s1 key_65960->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.139 | DispatchOne: txn=44 ops=2 shards=2 keys=[key_45848->s0 key_15673->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.139 | DispatchOne: txn=45 ops=2 shards=2 keys=[key_63675->s0 key_98919->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.140 | DispatchOne: txn=46 ops=2 shards=2 keys=[key_67971->s1 key_64164->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.140 | DispatchOne: txn=47 ops=2 shards=2 keys=[key_72707->s0 key_78771->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.140 | DispatchOne: txn=48 ops=2 shards=1 keys=[key_57092->s0 key_9822->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.140 | DispatchOne: txn=49 ops=2 shards=2 keys=[key_23800->s0 key_26545->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.140 | DispatchOne: txn=50 ops=2 shards=1 keys=[key_24650->s0 key_21352->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.140 | DispatchOne: txn=51 ops=2 shards=2 keys=[key_23848->s0 key_25607->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.141 | DispatchOne: txn=52 ops=2 shards=1 keys=[key_15816->s0 key_11821->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.141 | DispatchOne: txn=53 ops=2 shards=2 keys=[key_22249->s0 key_25906->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.141 | DispatchOne: txn=54 ops=2 shards=1 keys=[key_74139->s1 key_11080->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.141 | DispatchOne: txn=55 ops=2 shards=1 keys=[key_90564->s1 key_66336->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.141 | DispatchOne: txn=56 ops=2 shards=1 keys=[key_29209->s1 key_19817->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.141 | DispatchOne: txn=57 ops=2 shards=2 keys=[key_98683->s1 key_7541->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.141 | DispatchOne: txn=58 ops=2 shards=1 keys=[key_53391->s0 key_50570->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.141 | DispatchOne: txn=59 ops=2 shards=1 keys=[key_41239->s0 key_77948->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.141 | DispatchOne: txn=60 ops=2 shards=2 keys=[key_29987->s0 key_125->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.142 | DispatchOne: txn=61 ops=2 shards=2 keys=[key_82119->s0 key_73743->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.142 | DispatchOne: txn=62 ops=2 shards=1 keys=[key_25863->s1 key_33206->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.142 | DispatchOne: txn=63 ops=2 shards=1 keys=[key_8200->s1 key_16456->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.142 | DispatchOne: txn=64 ops=2 shards=2 keys=[key_15821->s0 key_84842->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.142 | DispatchOne: txn=65 ops=2 shards=1 keys=[key_838->s0 key_70343->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.142 | DispatchOne: txn=66 ops=2 shards=1 keys=[key_534->s1 key_66093->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.142 | DispatchOne: txn=67 ops=2 shards=2 keys=[key_54611->s0 key_22138->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.142 | DispatchOne: txn=68 ops=2 shards=2 keys=[key_13399->s0 key_69843->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.143 | DispatchOne: txn=69 ops=2 shards=1 keys=[key_32199->s1 key_3711->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.143 | DispatchOne: txn=70 ops=2 shards=1 keys=[key_28039->s1 key_21603->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.143 | DispatchOne: txn=71 ops=2 shards=2 keys=[key_45807->s1 key_62863->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.143 | DispatchOne: txn=72 ops=2 shards=1 keys=[key_50668->s0 key_91438->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.143 | DispatchOne: txn=73 ops=2 shards=1 keys=[key_98800->s0 key_4908->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.143 | DispatchOne: txn=74 ops=2 shards=1 keys=[key_2874->s0 key_3259->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.143 | DispatchOne: txn=75 ops=2 shards=2 keys=[key_57496->s0 key_22950->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.143 | DispatchOne: txn=76 ops=2 shards=1 keys=[key_36216->s1 key_48983->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.164 | DispatchOne: txn=77 ops=2 shards=1 keys=[key_15508->s0 key_17599->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.164 | DispatchOne: txn=78 ops=2 shards=2 keys=[key_50164->s1 key_72998->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.164 | DispatchOne: txn=79 ops=2 shards=1 keys=[key_89470->s1 key_4345->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.164 | DispatchOne: txn=80 ops=2 shards=2 keys=[key_45588->s1 key_47921->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.164 | DispatchOne: txn=81 ops=2 shards=2 keys=[key_12323->s0 key_98313->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.164 | DispatchOne: txn=82 ops=2 shards=1 keys=[key_44593->s0 key_62856->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.164 | DispatchOne: txn=83 ops=2 shards=2 keys=[key_11188->s0 key_9472->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.164 | DispatchOne: txn=84 ops=2 shards=1 keys=[key_46144->s0 key_98693->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.164 | DispatchOne: txn=85 ops=2 shards=2 keys=[key_45882->s0 key_9544->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.164 | DispatchOne: txn=86 ops=2 shards=2 keys=[key_69006->s0 key_41139->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.164 | DispatchOne: txn=87 ops=2 shards=2 keys=[key_61313->s1 key_71559->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.164 | DispatchOne: txn=88 ops=2 shards=1 keys=[key_89279->s0 key_97533->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.164 | DispatchOne: txn=89 ops=2 shards=1 keys=[key_26634->s0 key_33371->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:36:46.165 | DispatchOne: txn=90 ops=2 shards=2 keys=[key_51345->s1 key_93746->s0 ]
